method,order,mean,median,min,max,count,rank
GP-Julia-AD,2,0.0762209902459755,0.0229657716824726,0.0022928649289384,0.2528563906258454,7,1
GP_RBF_Python,2,0.08367019565221857,0.0246016578358766,0.0024246724237759,0.2674968064784338,7,2
GP_RBF_Iso_Python,2,0.08367020433195649,0.0246016929913296,0.002424613973439,0.2674968384863593,7,3
gp_rbf_mean,2,0.08367020659914234,0.0246016902411735,0.0024246746446835,0.2674968064824951,7,4
Dierckx-5,2,0.09496421632011533,0.0218754977504911,0.0015267013153197,0.3319606257509186,7,5
fourier,2,0.1391131564848593,0.0341082994161858,0.0326142422457133,0.5221858480229082,7,6
Fourier-Interp,2,0.13977607732881006,0.1068389218685861,0.1066874607806161,0.2826967117813579,7,7
ad_trig,2,0.1401765514140503,0.1047343415713481,0.1045894961718457,0.2931129794552405,7,8
fourier_continuation,2,0.14308699594804627,0.0404673010690907,0.03943224841973,0.5215883049082124,7,9
ButterworthSpline_Python,2,0.4315369883374334,0.4300203758597212,0.4299268529012344,0.4376910806828983,7,10
RKHS_Spline_m2_Python,2,0.4503937281537788,0.1281469286712729,0.1280166141066865,2.0692590451509982,7,11
chebyshev,2,0.7427042992915499,0.7412752341587061,0.7410628988533859,0.7509239347708707,7,12
Whittaker_m2_Python,2,0.7680224830902918,0.7680933168536873,0.7677784016408397,0.7681009916432912,7,13
Butterworth_Python,2,0.840234580930628,0.8402136617452297,0.8402122317700882,0.8403176884903186,7,14
TVRegDiff_Python,2,0.846604234481871,0.7699270139668251,0.4197642122559541,1.700658219308381,7,15
KalmanGrad_Python,2,0.966074356544632,0.9660212851506582,0.96601702646272,0.9662767822761892,7,16
SVR_Python,2,0.9749755649405862,0.9749540289141216,0.9749526891692968,0.975071772128811,7,17
Savitzky-Golay,2,0.9949369243772928,0.9949369243772926,0.9949369243772926,0.9949369243772926,7,18
TrendFilter-k2,2,0.9949369243772928,0.9949369243772926,0.9949369243772926,0.9949369243772926,7,19
TrendFilter-k7,2,0.9949369243772928,0.9949369243772926,0.9949369243772926,0.9949369243772926,7,20
SpectralTaper_Python,2,2.452650516102202,2.035577503496575,2.000400999815812,4.002935323304658,7,21
SavitzkyGolay_Python,2,38.374296192539816,39.08797775154766,36.28040702052815,39.1889202356368,7,22
AAA-LowPrec,2,1542.3843820093105,0.1480709947560221,0.1342298501494292,10795.797978803044,7,23
AAA-HighPrec,2,8820.170081887005,421.7602343699167,0.0002641159301305,48934.5010710421,7,24
GP-Julia-SE,2,285603700.5105282,300193383.8015546,199132221.0192279,300233374.7442606,7,25
